CD_FCT_AST,CD_POS,CD_POS_TYP,CD_PTF,DT_FCT,CD_CCY,CD_INS,CD_AST,LB_FCT_AST,QT_AST,MT_AST,MT_ACI,RT_PRM,RT_PAM,MT_PNL,PC_TWR
AST-PTF001-AAPL-20240131,POS-PTF001-AAPL,T,PTF001,2024-01-31,USD,AAPL,AAPL,Apple Inc - PTF001,120.000,21060.0000,0.0000,0.6931,0.6931,0.0000,0.000000
AST-PTF001-MSFT-20240131,POS-PTF001-MSFT,T,PTF001,2024-01-31,USD,MSFT,MSFT,Microsoft Corp - PTF001,30.000,9300.0000,0.0000,0.3069,0.3069,0.0000,0.000000
AST-PTF002-AAPL-20240131,POS-PTF002-AAPL,T,PTF002,2024-01-31,USD,AAPL,AAPL,Apple Inc - PTF002,200.000,35100.0000,0.0000,0.5310,0.5310,0.0000,0.000000
AST-PTF002-MSFT-20240131,POS-PTF002-MSFT,T,PTF002,2024-01-31,USD,MSFT,MSFT,Microsoft Corp - PTF002,100.000,31000.0000,0.0000,0.4690,0.4690,0.0000,0.000000
AST-PTF003-NESN-20240131,POS-PTF003-NESN,T,PTF003,2024-01-31,CHF,NESN,NESN,Nestlé SA - PTF003,50.000,5600.0000,0.0000,1.0000,1.0000,0.0000,0.000000
AST-PTF004-CH10Y-20240131,POS-PTF004-CH10Y,T,PTF004,2024-01-31,CHF,CH10Y,CH10Y,Swiss Confederation 10Y - PTF004,10.000,9850.0000,125.0000,0.5200,0.5200,0.0000,0.000000
AST-PTF004-CASH_CHF-20240131,POS-PTF004-CASH,C,PTF004,2024-01-31,CHF,CASH_CHF,CASH_CHF,Liquidités CHF - PTF004,9100.000,9100.0000,0.0000,0.4800,0.4800,0.0000,0.000000
AST-PTF001-AAPL-20240229,POS-PTF001-AAPL,T,PTF001,2024-02-29,USD,AAPL,AAPL,Apple Inc - PTF001,120.000,22440.0000,0.0000,0.6885,0.6885,1380.0000,0.065573
AST-PTF001-MSFT-20240229,POS-PTF001-MSFT,T,PTF001,2024-02-29,USD,MSFT,MSFT,Microsoft Corp - PTF001,30.000,10140.0000,0.0000,0.3115,0.3115,840.0000,0.090323
AST-PTF002-AAPL-20240229,POS-PTF002-AAPL,T,PTF002,2024-02-29,USD,AAPL,AAPL,Apple Inc - PTF002,200.000,37400.0000,0.0000,0.5285,0.5285,2300.0000,0.065527
AST-PTF002-MSFT-20240229,POS-PTF002-MSFT,T,PTF002,2024-02-29,USD,MSFT,MSFT,Microsoft Corp - PTF002,100.000,33800.0000,0.0000,0.4715,0.4715,2800.0000,0.090323
AST-PTF003-NESN-20240229,POS-PTF003-NESN,T,PTF003,2024-02-29,CHF,NESN,NESN,Nestlé SA - PTF003,50.000,5750.0000,0.0000,1.0000,1.0000,150.0000,0.026786
