CD_FCT_MVT,CD_POS,CD_FCT_OPE,YN_EXT,DT_CTA,ID_OBJ_MVT_CAT,CD_MVT_TYP,CD_PTF,CD_MVT_RES,CD_AST,CD_INS,CD_CCY_MVT,MT_MVT
MVT-PTF001-20240110-001,POS-PTF001-AAPL,OPE-PTF001-20240110-001,N,2024-01-10,1,BUY,PTF001,SEC,AAPL,AAPL,USD,120.000
MVT-PTF001-20240110-002,POS-PTF001-CASH,OPE-PTF001-20240110-001,N,2024-01-12,2,BUY,PTF001,CSH,CASH_USD,CASH_USD,USD,-20605.0000
MVT-PTF001-20240110-003,POS-PTF001-MSFT,OPE-PTF001-20240110-002,N,2024-01-10,1,BUY,PTF001,SEC,MSFT,MSFT,USD,30.000
MVT-PTF001-20240110-004,POS-PTF001-CASH,OPE-PTF001-20240110-002,N,2024-01-12,2,BUY,PTF001,CSH,CASH_USD,CASH_USD,USD,-9165.0000
MVT-PTF002-20240111-001,POS-PTF002-AAPL,OPE-PTF002-20240111-001,N,2024-01-11,1,BUY,PTF002,SEC,AAPL,AAPL,USD,200.000
MVT-PTF002-20240111-002,POS-PTF002-CASH,OPE-PTF002-20240111-001,N,2024-01-15,2,BUY,PTF002,CSH,CASH_USD,CASH_USD,USD,-34368.0000
MVT-PTF002-20240111-003,POS-PTF002-MSFT,OPE-PTF002-20240111-002,N,2024-01-11,1,BUY,PTF002,SEC,MSFT,MSFT,USD,100.000
MVT-PTF002-20240111-004,POS-PTF002-CASH,OPE-PTF002-20240111-002,N,2024-01-15,2,BUY,PTF002,CSH,CASH_USD,CASH_USD,USD,-30561.0000
MVT-PTF003-20240112-001,POS-PTF003-NESN,OPE-PTF003-20240112-001,N,2024-01-12,1,BUY,PTF003,SEC,NESN,NESN,CHF,50.000
MVT-PTF003-20240112-002,POS-PTF003-CASH,OPE-PTF003-20240112-001,N,2024-01-16,2,BUY,PTF003,CSH,CASH_CHF,CASH_CHF,CHF,-5511.0000
MVT-PTF004-20240115-001,POS-PTF004-CH10Y,OPE-PTF004-20240115-001,N,2024-01-15,1,BUY,PTF004,SEC,CH10Y,CH10Y,CHF,10.000
MVT-PTF004-20240115-002,POS-PTF004-CASH,OPE-PTF004-20240115-001,N,2024-01-17,2,BUY,PTF004,CSH,CASH_CHF,CASH_CHF,CHF,-9820.0000
MVT-PTF004-20240115-003,POS-PTF004-CASH,OPE-PTF004-20240115-002,N,2024-01-15,2,INC,PTF004,CSH,CASH_CHF,CASH_CHF,CHF,9100.0000
MVT-PTF001-20240220-001,POS-PTF001-AAPL,OPE-PTF001-20240220-001,N,2024-02-20,1,SELL,PTF001,SEC,AAPL,AAPL,USD,-20.000
MVT-PTF001-20240220-002,POS-PTF001-CASH,OPE-PTF001-20240220-001,N,2024-02-22,2,SELL,PTF001,CSH,CASH_USD,CASH_USD,USD,3732.6000
MVT-PTF002-20240221-001,POS-PTF002-MSFT,OPE-PTF002-20240221-001,N,2024-02-21,1,BUY,PTF002,SEC,MSFT,MSFT,USD,10.000
MVT-PTF002-20240221-002,POS-PTF002-CASH,OPE-PTF002-20240221-001,N,2024-02-23,2,BUY,PTF002,CSH,CASH_USD,CASH_USD,USD,-4128.2400
MVT-PTF005-20240115-001,POS-PTF005-CASH,OPE-PTF005-20240115-001,N,2024-01-15,2,INC,PTF005,CSH,CASH_CHF,CASH_CHF,CHF,22340.0000
MVT-PTF006-20240116-001,POS-PTF006-CASH,OPE-PTF006-20240116-001,N,2024-01-16,2,INC,PTF006,CSH,CASH_CHF,CASH_CHF,CHF,14210.0000
