CD_FCT_OPE,CD_OPE,NB_SEQ_PTC,LB_FCT_OPE,CD_FCT_OPE_EXT,CD_OPE_TYP,CD_DEB_CRD,YN_PRO,CD_POS,CD_PTF,CD_CCY_OPE,CD_AST,CD_INS,DT_CTA,DT_EXE,DT_VAL,QT_OPE,MT_OPE,MT_NET
OPE-PTF001-20240110-001,TXN-001,1,Achat Apple Inc,,BUY,D,N,POS-PTF001-AAPL,PTF001,USD,AAPL,AAPL,2024-01-10,2024-01-10,2024-01-12,120.000,20580.0000,20605.0000
OPE-PTF001-20240110-002,TXN-002,1,Achat Microsoft Corp,,BUY,D,N,POS-PTF001-MSFT,PTF001,USD,MSFT,MSFT,2024-01-10,2024-01-10,2024-01-12,30.000,9150.0000,9165.0000
OPE-PTF002-20240111-001,TXN-003,1,Achat Apple Inc,,BUY,D,N,POS-PTF002-AAPL,PTF002,USD,AAPL,AAPL,2024-01-11,2024-01-11,2024-01-15,200.000,34300.0000,34368.0000
OPE-PTF002-20240111-002,TXN-004,1,Achat Microsoft Corp,,BUY,D,N,POS-PTF002-MSFT,PTF002,USD,MSFT,MSFT,2024-01-11,2024-01-11,2024-01-15,100.000,30500.0000,30561.0000
OPE-PTF003-20240112-001,TXN-005,1,Achat Nestlé SA,,BUY,D,N,POS-PTF003-NESN,PTF003,CHF,NESN,NESN,2024-01-12,2024-01-12,2024-01-16,50.000,5500.0000,5511.0000
OPE-PTF004-20240115-001,TXN-006,1,Achat Swiss Confederation 10Y,,BUY,D,N,POS-PTF004-CH10Y,PTF004,CHF,CH10Y,CH10Y,2024-01-15,2024-01-15,2024-01-17,10.000,9800.0000,9820.0000
OPE-PTF004-20240115-002,TXN-007,1,Versement liquidités CHF,,INC,D,N,POS-PTF004-CASH,PTF004,CHF,CASH_CHF,CASH_CHF,2024-01-15,2024-01-15,2024-01-15,9100.000,9100.0000,9100.0000
OPE-PTF001-20240220-001,TXN-008,1,Vente partielle Apple Inc,,SELL,C,N,POS-PTF001-AAPL,PTF001,USD,AAPL,AAPL,2024-02-20,2024-02-20,2024-02-22,20.000,3740.0000,3732.6000
OPE-PTF002-20240221-001,TXN-009,1,Achat Microsoft Corp complémentaire,,BUY,D,N,POS-PTF002-MSFT,PTF002,USD,MSFT,MSFT,2024-02-21,2024-02-21,2024-02-23,10.000,4120.0000,4128.2400
OPE-PTF005-20240115-001,TXN-010,1,Versement initial USD,,INC,D,N,POS-PTF005-CASH,PTF005,CHF,CASH_CHF,CASH_CHF,2024-01-15,2024-01-15,2024-01-15,22340.000,22340.0000,22340.0000
OPE-PTF006-20240116-001,TXN-011,1,Versement initial EUR,,INC,D,N,POS-PTF006-CASH,PTF006,CHF,CASH_CHF,CASH_CHF,2024-01-16,2024-01-16,2024-01-16,14210.000,14210.0000,14210.0000
