CD_FCT_PTF,CD_PTF,DT_FCT,PC_PTF,MT_NET,MT_ACI,MT_LIA,MT_PNL,MT_PNC,MT_INC_YTD,MT_OUT_YTD,MT_NNM_INC_YTD,MT_NNM_OUT_YTD,MT_INT_INC_YTD,MT_INT_OUT_YTD,MT_INC_MTD,MT_OUT_MTD,MT_NNM_INC_MTD,MT_NNM_OUT_MTD,MT_INT_INC_MTD,MT_INT_OUT_MTD,MT_INC_DTD,MT_OUT_DTD,MT_NNM_INC_DTD,MT_NNM_OUT_DTD,MT_INT_INC_DTD,MT_INT_OUT_DTD
FCT-PTF001-20240131,PTF001,2024-01-31,0.1823,30360.0000,0.0000,0.0000,0.0000,0.0000,30360.0000,0.0000,30360.0000,0.0000,0.0000,0.0000,30360.0000,0.0000,30360.0000,0.0000,0.0000,0.0000,30360.0000,0.0000,30360.0000,0.0000,0.0000,0.0000
FCT-PTF002-20240131,PTF002,2024-01-31,0.3964,66100.0000,0.0000,0.0000,0.0000,0.0000,66100.0000,0.0000,66100.0000,0.0000,0.0000,0.0000,66100.0000,0.0000,66100.0000,0.0000,0.0000,0.0000,66100.0000,0.0000,66100.0000,0.0000,0.0000,0.0000
FCT-PTF003-20240131,PTF003,2024-01-31,0.0378,5600.0000,0.0000,0.0000,0.0000,0.0000,5600.0000,0.0000,5600.0000,0.0000,0.0000,0.0000,5600.0000,0.0000,5600.0000,0.0000,0.0000,0.0000,5600.0000,0.0000,5600.0000,0.0000,0.0000,0.0000
FCT-PTF004-20240131,PTF004,2024-01-31,0.1281,18950.0000,125.0000,0.0000,0.0000,0.0000,18950.0000,0.0000,18950.0000,0.0000,0.0000,0.0000,18950.0000,0.0000,18950.0000,0.0000,0.0000,0.0000,18950.0000,0.0000,18950.0000,0.0000,0.0000,0.0000
FCT-PTF005-20240131,PTF005,2024-01-31,0.1510,22340.0000,0.0000,0.0000,0.0000,0.0000,22340.0000,0.0000,22340.0000,0.0000,0.0000,0.0000,22340.0000,0.0000,22340.0000,0.0000,0.0000,0.0000,22340.0000,0.0000,22340.0000,0.0000,0.0000,0.0000
FCT-PTF006-20240131,PTF006,2024-01-31,0.0961,14210.0000,0.0000,0.0000,0.0000,0.0000,14210.0000,0.0000,14210.0000,0.0000,0.0000,0.0000,14210.0000,0.0000,14210.0000,0.0000,0.0000,0.0000,14210.0000,0.0000,14210.0000,0.0000,0.0000,0.0000
FCT-PTF001-20240229,PTF001,2024-02-29,0.1856,32580.0000,0.0000,0.0000,2220.0000,2220.0000,30360.0000,0.0000,30360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FCT-PTF002-20240229,PTF002,2024-02-29,0.4028,71200.0000,0.0000,0.0000,5100.0000,5100.0000,66100.0000,0.0000,66100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FCT-PTF003-20240229,PTF003,2024-02-29,0.0380,5750.0000,0.0000,0.0000,150.0000,150.0000,5600.0000,0.0000,5600.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FCT-PTF004-20240229,PTF004,2024-02-29,0.1284,19280.0000,62.5000,0.0000,330.0000,330.0000,18950.0000,0.0000,18950.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FCT-PTF005-20240229,PTF005,2024-02-29,0.1386,23100.0000,0.0000,0.0000,760.0000,760.0000,22340.0000,0.0000,22340.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FCT-PTF006-20240229,PTF006,2024-02-29,0.0955,14580.0000,0.0000,0.0000,370.0000,370.0000,14210.0000,0.0000,14210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
