CD_FCT_XRT,CD_CCY,DT_FCT,RT_FAC,RT_VAL
CHF_20240131,CHF,2024-01-31,1,1.000000
USD_20240131,USD,2024-01-31,1,0.886500
EUR_20240131,EUR,2024-01-31,1,0.954200
GBP_20240131,GBP,2024-01-31,1,1.121300
CHF_20240229,CHF,2024-02-29,1,1.000000
USD_20240229,USD,2024-02-29,1,0.881200
EUR_20240229,EUR,2024-02-29,1,0.952800
GBP_20240229,GBP,2024-02-29,1,1.118600
CHF_20240331,CHF,2024-03-31,1,1.000000
USD_20240331,USD,2024-03-31,1,0.903400
EUR_20240331,EUR,2024-03-31,1,0.968100
GBP_20240331,GBP,2024-03-31,1,1.143200
CHF_20240430,CHF,2024-04-30,1,1.000000
USD_20240430,USD,2024-04-30,1,0.912300
EUR_20240430,EUR,2024-04-30,1,0.971500
GBP_20240430,GBP,2024-04-30,1,1.151800
CHF_20240531,CHF,2024-05-31,1,1.000000
USD_20240531,USD,2024-05-31,1,0.898700
EUR_20240531,EUR,2024-05-31,1,0.963400
GBP_20240531,GBP,2024-05-31,1,1.138900
CHF_20240630,CHF,2024-06-30,1,1.000000
USD_20240630,USD,2024-06-30,1,0.895100
EUR_20240630,EUR,2024-06-30,1,0.959700
GBP_20240630,GBP,2024-06-30,1,1.132400
CHF_20240731,CHF,2024-07-31,1,1.000000
USD_20240731,USD,2024-07-31,1,0.878300
EUR_20240731,EUR,2024-07-31,1,0.946500
GBP_20240731,GBP,2024-07-31,1,1.118700
CHF_20240831,CHF,2024-08-31,1,1.000000
USD_20240831,USD,2024-08-31,1,0.861200
EUR_20240831,EUR,2024-08-31,1,0.942300
GBP_20240831,GBP,2024-08-31,1,1.109600
CHF_20240930,CHF,2024-09-30,1,1.000000
USD_20240930,USD,2024-09-30,1,0.848900
EUR_20240930,EUR,2024-09-30,1,0.938700
GBP_20240930,GBP,2024-09-30,1,1.098300
CHF_20241031,CHF,2024-10-31,1,1.000000
USD_20241031,USD,2024-10-31,1,0.867400
EUR_20241031,EUR,2024-10-31,1,0.944200
GBP_20241031,GBP,2024-10-31,1,1.112500
CHF_20241130,CHF,2024-11-30,1,1.000000
USD_20241130,USD,2024-11-30,1,0.882100
EUR_20241130,EUR,2024-11-30,1,0.951600
GBP_20241130,GBP,2024-11-30,1,1.119800
CHF_20241231,CHF,2024-12-31,1,1.000000
USD_20241231,USD,2024-12-31,1,0.896300
EUR_20241231,EUR,2024-12-31,1,0.957400
GBP_20241231,GBP,2024-12-31,1,1.128700
